2025-12-01 14:56:25 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:26 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:26 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:27 | INFO | live | Monitoring... NSE=₹97065.00 BSE=₹97090.00 Spread=₹25.00
2025-12-01 14:56:27 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:27 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:27 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:27 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:27 | INFO | main | Signal SBIN spread=40.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:27 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:28 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:28 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:29 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:29 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:29 | INFO | main | Signal SBIN spread=35.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:29 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:30 | INFO | main | Signal SBIN spread=5.00 buy=NSE sell=BSE qty=50
2025-12-01 14:56:30 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:31 | INFO | main | Signal SBIN spread=15.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:31 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:56:31 | INFO | main | Signal SBIN spread=15.00 buy=BSE sell=NSE qty=50
2025-12-01 14:56:31 | ERROR | safety | Too many failed fills; blocking new trades
