2025-12-09 10:33:21 | INFO | live | Monitoring... NSE=₹257.64 BSE=₹257.50 Spread=₹0.14
2025-12-09 10:33:26 | INFO | live | Monitoring... NSE=₹257.60 BSE=₹257.70 Spread=₹0.10
2025-12-09 10:33:31 | INFO | live | Monitoring... NSE=₹257.62 BSE=₹257.70 Spread=₹0.08
2025-12-09 10:33:36 | INFO | live | Monitoring... NSE=₹257.64 BSE=₹257.70 Spread=₹0.06
2025-12-09 10:33:41 | INFO | live | Monitoring... NSE=₹161.38 BSE=₹161.45 Spread=₹0.07
2025-12-09 10:33:46 | INFO | live | Monitoring... NSE=₹257.63 BSE=₹257.70 Spread=₹0.07
2025-12-09 10:33:51 | INFO | live | Monitoring... NSE=₹257.64 BSE=₹257.70 Spread=₹0.06
2025-12-09 10:33:56 | INFO | live | Monitoring... NSE=₹257.56 BSE=₹257.70 Spread=₹0.14
2025-12-09 10:34:01 | INFO | live | Monitoring... NSE=₹257.53 BSE=₹257.70 Spread=₹0.17
2025-12-09 10:34:06 | INFO | live | Monitoring... NSE=₹257.50 BSE=₹257.70 Spread=₹0.20
2025-12-09 10:34:11 | INFO | live | Monitoring... NSE=₹257.53 BSE=₹257.70 Spread=₹0.17
2025-12-09 10:34:17 | INFO | live | Monitoring... NSE=₹161.20 BSE=₹161.15 Spread=₹0.05
2025-12-09 10:34:22 | INFO | live | Monitoring... NSE=₹161.18 BSE=₹161.25 Spread=₹0.07
2025-12-09 10:34:27 | INFO | live | Monitoring... NSE=₹257.42 BSE=₹257.50 Spread=₹0.08
2025-12-09 10:34:32 | INFO | live | Monitoring... NSE=₹161.18 BSE=₹161.25 Spread=₹0.07
2025-12-09 10:34:37 | INFO | live | Monitoring... NSE=₹161.18 BSE=₹161.25 Spread=₹0.07
2025-12-09 10:34:42 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:34:47 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:34:52 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:34:57 | INFO | live | Monitoring... NSE=₹161.12 BSE=₹161.15 Spread=₹0.03
2025-12-09 10:35:02 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:35:07 | INFO | live | Monitoring... NSE=₹161.09 BSE=₹161.05 Spread=₹0.04
2025-12-09 10:35:12 | INFO | live | Monitoring... NSE=₹257.44 BSE=₹257.50 Spread=₹0.06
2025-12-09 10:35:17 | INFO | live | Monitoring... NSE=₹257.38 BSE=₹257.50 Spread=₹0.12
2025-12-09 10:35:22 | INFO | live | Monitoring... NSE=₹257.40 BSE=₹257.50 Spread=₹0.10
2025-12-09 10:35:27 | INFO | live | Monitoring... NSE=₹257.28 BSE=₹257.40 Spread=₹0.12
2025-12-09 10:35:32 | INFO | live | Monitoring... NSE=₹257.38 BSE=₹257.25 Spread=₹0.13
2025-12-09 10:35:37 | INFO | live | Monitoring... NSE=₹257.38 BSE=₹257.25 Spread=₹0.13
2025-12-09 10:35:42 | INFO | live | Monitoring... NSE=₹257.38 BSE=₹257.25 Spread=₹0.13
2025-12-09 10:35:47 | INFO | live | Monitoring... NSE=₹257.35 BSE=₹257.25 Spread=₹0.10
2025-12-09 10:35:52 | INFO | live | Monitoring... NSE=₹257.27 BSE=₹257.25 Spread=₹0.02
2025-12-09 10:35:57 | INFO | live | Monitoring... NSE=₹257.34 BSE=₹257.25 Spread=₹0.09
2025-12-09 10:36:02 | INFO | live | Monitoring... NSE=₹257.30 BSE=₹257.40 Spread=₹0.10
2025-12-09 10:36:07 | INFO | live | Monitoring... NSE=₹257.30 BSE=₹257.40 Spread=₹0.10
2025-12-09 10:36:12 | INFO | live | Monitoring... NSE=₹257.28 BSE=₹257.40 Spread=₹0.12
2025-12-09 10:36:17 | INFO | live | Monitoring... NSE=₹257.23 BSE=₹257.30 Spread=₹0.07
2025-12-09 10:36:22 | INFO | live | Monitoring... NSE=₹161.00 BSE=₹160.95 Spread=₹0.05
2025-12-09 10:36:27 | INFO | live | Monitoring... NSE=₹257.30 BSE=₹257.20 Spread=₹0.10
2025-12-09 10:36:32 | INFO | live | Monitoring... NSE=₹257.30 BSE=₹257.20 Spread=₹0.10
2025-12-09 10:36:37 | INFO | live | Monitoring... NSE=₹257.46 BSE=₹257.20 Spread=₹0.26
2025-12-09 10:36:42 | INFO | live | Monitoring... NSE=₹161.11 BSE=₹161.15 Spread=₹0.04
2025-12-09 10:36:47 | INFO | live | Monitoring... NSE=₹257.62 BSE=₹257.50 Spread=₹0.12
2025-12-09 10:36:52 | INFO | live | Monitoring... NSE=₹161.19 BSE=₹161.10 Spread=₹0.09
2025-12-09 10:36:57 | INFO | live | Monitoring... NSE=₹161.18 BSE=₹161.10 Spread=₹0.08
2025-12-09 10:37:02 | INFO | live | Monitoring... NSE=₹161.20 BSE=₹161.10 Spread=₹0.10
2025-12-09 10:37:07 | INFO | live | Monitoring... NSE=₹257.58 BSE=₹257.70 Spread=₹0.12
2025-12-09 10:37:12 | INFO | live | Monitoring... NSE=₹257.51 BSE=₹257.70 Spread=₹0.19
2025-12-09 10:37:17 | INFO | live | Monitoring... NSE=₹257.48 BSE=₹257.70 Spread=₹0.22
2025-12-09 10:37:22 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:37:27 | INFO | live | Monitoring... NSE=₹257.44 BSE=₹257.50 Spread=₹0.06
2025-12-09 10:37:32 | INFO | live | Monitoring... NSE=₹161.05 BSE=₹161.10 Spread=₹0.05
2025-12-09 10:37:37 | INFO | live | Monitoring... NSE=₹161.05 BSE=₹161.00 Spread=₹0.05
2025-12-09 10:37:42 | INFO | live | Monitoring... NSE=₹257.57 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:37:47 | INFO | live | Monitoring... NSE=₹257.57 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:37:52 | INFO | live | Monitoring... NSE=₹257.57 BSE=₹257.50 Spread=₹0.07
2025-12-09 10:37:57 | INFO | live | Monitoring... NSE=₹257.51 BSE=₹257.65 Spread=₹0.14
2025-12-09 10:38:02 | INFO | live | Monitoring... NSE=₹257.44 BSE=₹257.65 Spread=₹0.21
2025-12-09 10:38:07 | INFO | live | Monitoring... NSE=₹160.95 BSE=₹161.00 Spread=₹0.05
2025-12-09 10:38:12 | INFO | live | Monitoring... NSE=₹160.95 BSE=₹161.00 Spread=₹0.05
2025-12-09 10:38:17 | INFO | live | Monitoring... NSE=₹257.48 BSE=₹257.50 Spread=₹0.02
2025-12-09 10:38:22 | INFO | live | Monitoring... NSE=₹257.58 BSE=₹257.40 Spread=₹0.18
2025-12-09 10:38:27 | INFO | live | Monitoring... NSE=₹257.51 BSE=₹257.40 Spread=₹0.11
2025-12-09 10:38:32 | INFO | live | Monitoring... NSE=₹257.49 BSE=₹257.40 Spread=₹0.09
2025-12-09 10:38:37 | INFO | live | Monitoring... NSE=₹257.50 BSE=₹257.40 Spread=₹0.10
2025-12-09 10:38:42 | INFO | live | Monitoring... NSE=₹257.58 BSE=₹257.40 Spread=₹0.18
2025-12-09 10:38:47 | INFO | live | Monitoring... NSE=₹257.49 BSE=₹257.55 Spread=₹0.06
2025-12-09 10:38:52 | INFO | live | Monitoring... NSE=₹257.40 BSE=₹257.55 Spread=₹0.15
2025-12-09 10:38:57 | INFO | live | Monitoring... NSE=₹161.06 BSE=₹161.15 Spread=₹0.09
2025-12-09 10:39:02 | INFO | live | Monitoring... NSE=₹257.41 BSE=₹257.55 Spread=₹0.14
2025-12-09 10:39:07 | INFO | live | Monitoring... NSE=₹257.40 BSE=₹257.50 Spread=₹0.10
2025-12-09 10:39:12 | INFO | live | Monitoring... NSE=₹257.46 BSE=₹257.50 Spread=₹0.04
2025-12-09 10:39:17 | INFO | live | Monitoring... NSE=₹257.43 BSE=₹257.50 Spread=₹0.07
